f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,0.13189214,-0.09469142,-0.041801736,0.22086176,-0.2728522,-0.05427423,0.2812752,-0.42638823,-0.067006774,0.33330715,-0.5300907,-0.08047477,0.13898204,-0.5031368,-0.031143531,0.17466779,-0.69991964,-0.064978905,0.19079158,-0.8203836,-0.091712594,0.20168376,-0.91922635,-0.11269197,0.051120352,-0.5259261,-0.0412184,0.06972737,-0.74443495,-0.074645795,0.083290525,-0.8860578,-0.104571365,0.091406524,-1.0,-0.1265492,-0.032092396,-0.5010483,-0.058735922,-0.051997446,-0.7134707,-0.09964663,-0.06539439,-0.85598713,-0.13764134,-0.072824284,-0.97441787,-0.16407838,-0.1095643,-0.4349173,-0.07998635,-0.17386112,-0.5776549,-0.12774256,-0.21730743,-0.6819802,-0.15922993,-0.24910842,-0.7800132,-0.17935197,NONE
0.0,0.0,0.0,0.12863874,-0.09448954,-0.044396654,0.21474695,-0.26630285,-0.059947196,0.2718346,-0.4175161,-0.075024106,0.32397914,-0.523988,-0.09052907,0.13129736,-0.50001,-0.035656262,0.1673906,-0.69379884,-0.071963556,0.18678775,-0.81218886,-0.100441694,0.20165603,-0.9113321,-0.12219555,0.044718765,-0.52296245,-0.045156404,0.06201124,-0.7409275,-0.079460345,0.07606929,-0.88270307,-0.10960408,0.0849202,-1.0,-0.13188638,-0.03616458,-0.49746543,-0.062179446,-0.058036465,-0.7051121,-0.10304668,-0.07183648,-0.8457921,-0.14008778,-0.07880721,-0.96380615,-0.16579624,-0.110935085,-0.43117246,-0.08322735,-0.17806254,-0.5736001,-0.12993656,-0.2211205,-0.6774038,-0.16024564,-0.252013,-0.7763085,-0.17961064,NONE
0.0,0.0,0.0,0.1303582,-0.09221667,-0.044946622,0.21765362,-0.26516584,-0.06011696,0.2743948,-0.4176318,-0.07440227,0.32508114,-0.5239663,-0.08912658,0.13347404,-0.49692893,-0.037324812,0.17103939,-0.69445205,-0.07337339,0.19066297,-0.81481385,-0.101217575,0.20544735,-0.9145541,-0.122360565,0.045658544,-0.5200115,-0.045589615,0.06256431,-0.74112755,-0.07981693,0.07678514,-0.8845599,-0.10968814,0.08526601,-1.0,-0.1314585,-0.03553248,-0.49534154,-0.06117831,-0.059490535,-0.70387584,-0.1017352,-0.07362607,-0.84352565,-0.13900515,-0.08105175,-0.95880264,-0.16472124,-0.10933775,-0.43005368,-0.08073801,-0.17489274,-0.57055235,-0.12734714,-0.21807113,-0.67167985,-0.15792072,-0.24972723,-0.7679243,-0.17729276,NONE
0.0,0.0,0.0,0.12899391,-0.092424154,-0.044408318,0.2149125,-0.26441613,-0.059376653,0.27044195,-0.414765,-0.07369916,0.32096985,-0.52016765,-0.0883447,0.13236646,-0.49837065,-0.03592358,0.16859224,-0.6941712,-0.072102085,0.18784031,-0.8138343,-0.100199655,0.20271842,-0.91342366,-0.12154964,0.044862688,-0.5211548,-0.044783555,0.061435692,-0.7405691,-0.07918606,0.07567901,-0.8834437,-0.10904712,0.0847953,-1.0,-0.13074887,-0.036225196,-0.4955824,-0.0611069,-0.059245165,-0.70351905,-0.102016464,-0.07395245,-0.84447366,-0.1392434,-0.08150199,-0.9619814,-0.16476342,-0.11025806,-0.4293036,-0.08138493,-0.17639345,-0.57018024,-0.12806812,-0.21951973,-0.67300504,-0.15855308,-0.25052503,-0.77125585,-0.17782931,NONE
0.0,0.0,0.0,0.12936537,-0.09186046,-0.044996362,0.21512812,-0.26525542,-0.059813794,0.27081004,-0.41656134,-0.073785275,0.3215583,-0.5215214,-0.08807034,0.13268064,-0.498433,-0.03680144,0.16990058,-0.69589573,-0.07285541,0.18939774,-0.81620234,-0.10069783,0.20390452,-0.915654,-0.12189291,0.044386804,-0.52129847,-0.045135915,0.061142206,-0.7421273,-0.07978501,0.07536491,-0.8849062,-0.109816685,0.08388238,-1.0,-0.1315521,-0.037000764,-0.49573457,-0.060882993,-0.06000755,-0.70378625,-0.10207421,-0.074518815,-0.84321505,-0.13984406,-0.08258479,-0.9590257,-0.16570927,-0.1108525,-0.42955357,-0.080573805,-0.17562683,-0.56970453,-0.12786195,-0.21892075,-0.6714128,-0.15905124,-0.25096428,-0.76848024,-0.17875366,NONE
0.0,0.0,0.0,0.12922972,-0.09347251,-0.044633273,0.21482803,-0.267259,-0.059337214,0.27084914,-0.4183987,-0.073324695,0.32214844,-0.52268064,-0.08772588,0.13252404,-0.49821493,-0.036349285,0.16910307,-0.69539046,-0.072486624,0.18869983,-0.8156413,-0.10053188,0.20351203,-0.91522276,-0.12188973,0.04443762,-0.52145,-0.044975765,0.060447093,-0.7421612,-0.07962959,0.0746296,-0.8847581,-0.109630525,0.083404675,-1.0,-0.13139273,-0.036806945,-0.49623352,-0.061039448,-0.05951528,-0.7043862,-0.10211879,-0.07381277,-0.84389335,-0.13972203,-0.0816267,-0.9598751,-0.16552901,-0.110653445,-0.43011862,-0.08106466,-0.17488295,-0.57079047,-0.12809423,-0.2179099,-0.6726425,-0.15903185,-0.24961103,-0.76982576,-0.17865941,NONE
0.0,0.0,0.0,0.12984966,-0.09451341,-0.044051267,0.21577096,-0.26831126,-0.058339704,0.27125835,-0.41962117,-0.072072685,0.32172373,-0.52452224,-0.08631282,0.13231628,-0.49822885,-0.035564005,0.16970097,-0.6956676,-0.0718389,0.18943796,-0.81654155,-0.10023995,0.20430337,-0.917185,-0.121937506,0.04471072,-0.5211498,-0.04456823,0.061015863,-0.74159443,-0.07934357,0.075345896,-0.8843148,-0.109894335,0.08426472,-1.0,-0.13220516,-0.036153976,-0.4956024,-0.060953338,-0.059132285,-0.7035479,-0.1019442,-0.073360816,-0.8435226,-0.13965939,-0.08108875,-0.96021974,-0.16571745,-0.1097343,-0.42900497,-0.08130023,-0.17463753,-0.57003546,-0.12817852,-0.21753937,-0.6726227,-0.15910739,-0.24896635,-0.77050626,-0.1788648,NONE
0.0,0.0,0.0,0.1294329,-0.093376964,-0.044537578,0.21532574,-0.26732087,-0.059038818,0.27109244,-0.41843012,-0.072783954,0.32211632,-0.52385694,-0.08684576,0.13296539,-0.4998435,-0.035196885,0.17010657,-0.6963121,-0.07100913,0.1898453,-0.81650245,-0.099057734,0.20512985,-0.91648066,-0.12051494,0.04515197,-0.52331126,-0.04374955,0.061667413,-0.7431376,-0.07778736,0.07593605,-0.8855033,-0.10758568,0.08504558,-1.0,-0.1293308,-0.036328766,-0.49800298,-0.05981912,-0.05872241,-0.707046,-0.10054626,-0.07384345,-0.8479539,-0.13815315,-0.08211804,-0.9650008,-0.16405539,-0.11058598,-0.4313706,-0.07984706,-0.17491867,-0.5725398,-0.12674168,-0.21783629,-0.6747571,-0.1576693,-0.2493777,-0.77222884,-0.17730166,NONE
0.0,0.0,0.0,0.12953138,-0.09284704,-0.044395067,0.21546479,-0.26718047,-0.058359787,0.27148628,-0.41857845,-0.07166262,0.32235482,-0.5237113,-0.08521175,0.1331011,-0.5000038,-0.033307467,0.17050102,-0.69580084,-0.06832151,0.1904406,-0.8159388,-0.09610692,0.20598263,-0.9154085,-0.11748998,0.045003366,-0.52427363,-0.04164962,0.061298396,-0.74379885,-0.074815206,0.07559395,-0.88574624,-0.10436499,0.08506662,-1.0,-0.12608229,-0.036244374,-0.49971172,-0.057582848,-0.057737425,-0.7087733,-0.09762265,-0.07212889,-0.8486698,-0.1350026,-0.07977173,-0.9647102,-0.16087216,-0.10998864,-0.43365815,-0.077529505,-0.17504439,-0.5743261,-0.124065675,-0.21823527,-0.6762167,-0.15491042,-0.24990563,-0.77330077,-0.17452726,NONE
0.0,0.0,0.0,0.13018858,-0.09292681,-0.045416452,0.2164678,-0.2669602,-0.060006034,0.2730095,-0.41895813,-0.073776275,0.3241961,-0.52441216,-0.08787773,0.13409632,-0.49896035,-0.035327855,0.17152739,-0.69576085,-0.07114255,0.19163541,-0.8160861,-0.09929479,0.20747861,-0.915866,-0.12091807,0.04601785,-0.52300406,-0.04344442,0.062610306,-0.74287677,-0.07749409,0.07730752,-0.88526875,-0.10762184,0.087223254,-1.0,-0.12973444,-0.0354267,-0.49836767,-0.05919007,-0.05689234,-0.70831263,-0.10000601,-0.07110305,-0.8484448,-0.13794684,-0.07858138,-0.9648716,-0.16419011,-0.109421305,-0.43251556,-0.07899158,-0.17356417,-0.573482,-0.12626757,-0.216495,-0.6753207,-0.15765937,-0.24811591,-0.7726747,-0.17767446,NONE
